GEM location ID,bus_id
L100000900206,way/492377703-765
L100000900207,way/492377703-765
L100000900208,way/1127651311-765
L100000900209,way/492377703-765
L100000900210,IN529-765
L100000900211,way/429459345-765
L100000900212,way/1127651311-765
L100000900213,way/318090288-765
L100000900214,way/386018740-765
L100000900215,way/355560316-765
L100000900216,way/1078426593-765
L100000900217,way/355560316-765
L100000900218,way/355560316-765
L100000900219,way/492377703-765
L100000900220,way/355560316-765
L100000900221,way/688672711-765
L100000900222,way/688672711-765
L100000900224,way/311571096-765
L100000900225,way/311571096-765
L100000900226,way/688672711-765
L100000900227,way/688672711-765
L100000900228,way/688672711-765
L100000900229,way/688672711-765
L100000900231,way/688672711-765
L100000900232,way/688672711-765
L100000900233,IN529-765
L100000900234,way/688672711-765
L100000900235,way/209826798-765
L100000900236,way/688672711-765
L100000900237,IN529-765
L100000900238,way/311571096-765
L100000900239,way/688672798-765
L100000900240,way/342204888-765
L100000900241,way/688672711-765
L100000900243,way/245128370-765
L100000900244,way/688672711-765
L100000900245,way/355560316-765
L100000900246,way/492377703-765
L100000900247,way/408924420-765
L100000900248,IN748-765
L100000900249,way/492377703-765
L100000900250,IN684-765
L100000900251,way/425401901-765
L100000900252,way/360424761-765
L100000900253,way/1127651311-765
L100000900254,way/631917408-765
L100000900255,way/492377703-765
L100000900256,way/355560316-765
L100000900257,way/688672711-765
L100000900259,way/315823978-765
L100000900261,way/315823978-765
L100000900262,way/245128370-765
L100000900263,way/386018740-765
L100000900264,IN642-765
L100000900265,IN659-765
L100000900266,IN659-765
L100000900268,IN803-765
L100000900269,way/688672711-765
L100000900270,way/311571096-765
L100000900272,IN659-765
L100000900273,way/1001700959-765
L100000900275,way/386018740-765
L100000900276,way/355560316-765
L100000900277,IN803-765
L100000900278,IN803-765
L100000900279,IN803-765
L100000900280,IN473-765
L100000900281,IN486-765
L100000900282,way/688672711-765
L100000900283,way/453513742-765
L100000900284,way/1001700959-765
L100000900285,way/360424761-765
L100000900286,way/492377703-765
L100000900287,way/453513742-765
L100000900288,IN642-765
L100000900289,way/1127651311-765
L100000900290,way/1127651311-765
L100000900291,way/492377703-765
L100000900292,way/631917408-765
L100000900293,way/311571096-765
L100000900294,IN806-765
L100000900295,IN659-765
L100000900296,way/1078426593-765
L100000900297,way/1078426593-765
L100000900298,IN798-765
L100000900299,way/1127651311-765
L100000900300,way/655683221-765
L100000900301,way/1127651311-765
L100000900302,way/1078426593-765
L100000900303,way/688672711-765
L100000900304,way/429459345-765
L100000900305,IN742-765
L100000900306,IN742-765
L100000900307,IN749-765
L100000900308,way/315823978-765
L100000900309,way/386153973-765
L100000900310,way/386153973-765
L100000900311,way/386018740-765
L100000900312,way/315823978-765
L100000900313,way/1078426593-765
L100000900314,way/429459345-765
L100000900315,way/209826798-765
L100000900316,way/1127651311-765
L100000900317,way/425401901-765
L100000900318,way/318090288-765
L100000900319,way/1127651311-765
L100000900320,way/355560316-765
L100000900321,IN801-765
L100000900322,IN798-765
L100000900323,IN803-765
L100000900324,way/492377703-765
L100000900325,way/1127651311-765
L100000900326,way/1127651311-765
L100000900327,way/1078426593-765
L100000900328,way/688672711-765
L100000900329,way/688672711-765
L100000900330,way/1127651311-765
L100000900331,way/655683221-765
L100000900332,way/429459345-765
L100000900333,IN473-765
L100000900334,way/1127651311-765
L100000900335,way/1127651311-765
L100000900336,way/492377703-765
L100000900337,way/492377703-765
L100000900338,way/492377703-765
L100000900339,way/425401901-765
L100000900340,way/1127651311-765
L100000900342,way/688672711-765
L100000900343,way/688672711-765
L100000900344,way/688672711-765
L100000900345,IN803-765
L100000900346,IN529-765
L100000900347,way/315823978-765
L100000900348,IN749-765
L100000900349,IN748-765
L100000900350,way/209826798-765
L100000900351,way/311571096-765
L100000900352,way/655683221-765
L100000900353,way/655683221-765
L100000900354,way/355560316-765
L100000900355,way/386018740-765
L100000900356,IN748-765
L100000900357,way/360424761-765
L100000900358,way/492377703-765
L100000900359,way/1127651311-765
L100000900360,IN473-765
L100000900361,IN748-765
L100000900362,way/315823978-765
L100000900363,way/315823978-765
L100000900364,IN748-765
L100000900365,IN748-765
L100000900366,way/355560316-765
L100000900367,way/355560316-765
L100000900368,way/1001700959-765
L100000900369,IN748-765
L100000900370,way/492377703-765
L100000900371,IN803-765
L100000900374,IN803-765
L100000900375,way/688672711-765
L100000900376,way/688672711-765
L100000900377,way/688672711-765
L100000900378,way/688672711-765
L100000900379,way/1078426593-765
L100000900380,way/1127651311-765
L100000900381,way/1127651311-765
L100000900382,way/1127651311-765
L100000900383,IN218-765
L100000900384,way/631917408-765
L100000900385,way/688672711-765
L100000900386,way/688672711-765
L100000900387,way/688672711-765
L100000900389,way/688672711-765
L100000900393,way/688672711-765
L100000900395,way/1001700959-765
L100000900396,way/1127651311-765
L100000900397,way/1127651311-765
L100000900398,way/1078426593-765
L100000900399,way/1127651311-765
L100000900400,way/688672711-765
L100000900401,way/1078426593-765
L100000900402,way/1078426593-765
L100000900403,way/1127651311-765
L100000900404,way/1127651311-765
L100000900405,way/1078426593-765
L100000900406,way/1078426593-765
L100000900407,way/688672711-765
L100000900408,way/1127651311-765
L100000900409,IN748-765
L100000900410,way/492377703-765
L100000900411,way/1001700959-765
L100000900412,IN473-765
L100000900413,IN218-765
L100000900414,way/386018740-765
L100000900415,IN659-765
L100000900416,way/466424134-765
L100000900417,IN803-765
L100000900418,way/473902678-765
L100000900419,way/492377703-765
L100000900420,way/355560316-765
L100000900421,way/311571096-765
L100000900422,IN803-765
L100000900423,way/1127651311-765
L100000900424,way/1001700959-765
L100000900425,way/1001700959-765
L100000900426,way/1001700959-765
L100000900427,IN806-765
L100000900428,IN529-765
L100000900429,way/492377703-765
L100000900430,way/355560316-765
L100000900431,way/1127651311-765
L100000900432,way/1078426593-765
L100000900433,IN803-765
L100000900434,way/631917408-765
L100000900435,way/1127651311-765
L100000900436,way/1001700959-765
L100000900437,way/1001700959-765
L100000900438,way/342204888-765
L100000900439,IN806-765
L100000900440,way/315823978-765
L100000900441,way/355560316-765
L100000900442,IN659-765
L100000900443,IN803-765
L100000900444,way/425401901-765
L100000900445,IN798-765
L100000900446,IN798-765
L100000900447,IN803-765
L100000900448,way/1001700959-765
L100000900449,way/429459345-765
L100000900450,way/209826798-765
L100000900451,IN803-765
L100000900452,IN803-765
L100000900453,way/514344408-765
L100000900454,way/1001700959-765
L100000900455,way/910151268-765
L100000900457,way/209826798-765
L100000900458,way/386018740-765
L100000900459,IN191-765
L100000900460,IN803-765
L100000900461,way/386018740-765
L100000900462,IN748-765
L100000900463,IN748-765
L100000900464,way/473902678-765
L100000900466,IN529-765
L100000900467,way/311571096-765
L100000900468,IN529-765
L100000900469,IN803-765
L100000900470,IN529-765
L100000900471,way/801704865-765
L100000900472,way/369866141-765
L100000900473,way/311571096-765
L100000900474,way/315823978-765
L100000900475,way/315823978-765
L100000900476,way/315823978-765
L100000900477,way/355560316-765
L100000900478,IN642-765
L100000900479,IN803-765
L100000900480,way/315823978-765
L100000900481,way/1001700959-765
L100000900482,IN748-765
L100000900483,way/429459345-765
L100000900484,way/1001700959-765
L100000900485,way/688672711-765
L100000900486,IN803-765
L100000900487,IN803-765
L100000900488,way/386153973-765
L100000900489,way/492377703-765
L100000900490,way/355560316-765
L100000900491,way/453513742-765
L100000900492,way/355560316-765
L100000900493,way/492377703-765
L100000900494,way/355560316-765
L100000900495,IN803-765
L100000900496,way/453513742-765
L100000900497,IN806-765
L100000900498,way/453513742-765
L100000900499,way/1078426593-765
L100000900500,IN529-765
L100000900501,IN803-765
L100000900502,way/429459345-765
L100000900503,IN486-765
L100000900504,way/631917408-765
L100000900505,IN529-765
L100000900506,way/311571096-765
L100000900507,way/1127651311-765
L100000900508,way/360424761-765
L100000900509,way/1001700959-765
L100000900510,way/688672711-765
L100000900511,IN803-765
L100000900512,IN529-765
L100000900513,way/425401901-765
L100000900514,way/425401901-765
L100000900515,way/425401901-765
L100000900516,way/425401901-765
L100000900517,way/425401901-765
L100000900518,way/315823978-765
L100000900519,way/315823978-765
L100000900520,way/425401901-765
L100000900521,IN798-765
L100000900522,IN798-765
L100000900523,way/425401901-765
L100000900524,IN642-765
L100000900525,way/655683221-765
L100000900526,way/492377703-765
L100000900527,way/654736039-765
L100000900528,way/688672711-765
L100000900529,way/688672711-765
L100000900530,IN486-765
L100000900531,way/355560316-765
L100000900532,way/360424761-765
L100000900533,IN486-765
L100000900534,way/1001700959-765
L100000900535,way/492377703-765
L100000900536,IN803-765
L100000900537,way/688672711-765
L100000900538,way/386018740-765
L100000900539,way/1127651311-765
L100000900540,way/315823978-765
L100000900541,way/688672711-765
L100000900542,way/386018740-765
L100000900543,way/355560316-765
L100000900544,IN748-765
L100000900545,IN473-765
L100000900546,IN748-765
L100000900547,way/386018740-765
L100000900548,way/311571096-765
L100000900549,way/360424761-765
L100000900550,IN659-765
L100000900551,way/910151268-765
L100000900552,way/1001700959-765
L100000900553,way/429459345-765
L100000900554,IN798-765
L100000900555,IN803-765
L100000900556,IN803-765
L100000900557,IN803-765
L100000900558,IN803-765
L100000900559,IN803-765
L100000900560,IN798-765
L100000900561,way/425401901-765
L100000900562,way/355560316-765
L100000900563,IN473-765
L100000900564,way/492377703-765
L100000900565,way/386018740-765
L100000900566,way/492377703-765
L100000900567,IN218-765
L100000900568,way/342204888-765
L100000900569,IN659-765
L100000900570,way/429459345-765
L100000900571,IN473-765
L100000900572,IN218-765
L100000900573,way/655683221-765
L100000900574,way/209826798-765
L100000900575,way/209826798-765
L100000900576,IN748-765
L100000900577,way/429459345-765
L100000900578,way/492377703-765
L100000900579,way/355560316-765
L100000900580,way/355560316-765
L100000900581,way/492377703-765
