bus_id,grid_cell
IN42-765,IND_754
IN42-765,IND_755
IN42-765,IND_756
way/425401901-765,IND_765
way/1206014676-765,IND_766
IN809-765,IND_767
IN803-765,IND_768
IN803-765,IND_769
way/751947947-765,IND_770
way/751947947-765,IND_771
way/386153973-765,IND_772
way/386153973-765,IND_773
way/342204888-765,IND_774
way/342204888-765,IND_775
way/245128370-765,IND_776
IN748-765,IND_778
way/315823978-765,IND_779
way/315823978-765,IND_780
way/315823978-765,IND_781
way/801704865-765,IND_782
way/801704865-765,IND_784
way/466424134-765,IND_785
way/466424134-765,IND_786
way/466424134-765,IND_787
way/466424134-765,IND_788
way/840600239-765,IND_789
way/840600239-765,IND_790
way/408924420-765,IND_792
way/408924420-765,IND_793
way/408924420-765,IND_794
way/514344408-765,IND_795
way/514344408-765,IND_796
way/514344408-765,IND_797
way/193216698-765,IND_798
way/193216698-765,IND_799
IN272-765,IND_802
IN196-765,IND_804
way/1329624553-765,IND_806
IN116-765,IND_808
way/1341291951-765,IND_809
way/1341291951-765,IND_810
IN42-765,IND_811
IN42-765,IND_813
IN42-765,IND_815
IN42-765,IND_816
way/425401901-765,IND_823
way/1206014676-765,IND_824
way/1206014676-765,IND_825
way/545571850-765,IND_826
way/545571850-765,IND_827
way/545571850-765,IND_828
way/751947947-765,IND_829
way/342204888-765,IND_831
way/342204888-765,IND_832
way/342204888-765,IND_833
way/245128370-765,IND_834
IN742-765,IND_837
way/315823978-765,IND_838
way/315823978-765,IND_839
way/801704865-765,IND_840
way/801704865-765,IND_841
way/1207477934-765,IND_842
way/1207477934-765,IND_843
way/466424134-765,IND_844
way/466424134-765,IND_845
way/466424134-765,IND_846
way/840600239-765,IND_847
way/840600239-765,IND_849
way/408924420-765,IND_850
way/192782338-765,IND_852
IN476-765,IND_853
IN476-765,IND_855
way/193216698-765,IND_856
way/423702239-765,IND_857
way/423702239-765,IND_858
IN295-765,IND_859
IN276-765,IND_861
IN200-765,IND_862
way/1329624553-765,IND_865
way/1415199647-765,IND_866
way/1415199647-765,IND_868
IN42-765,IND_869
IN42-765,IND_870
IN42-765,IND_874
way/425401901-765,IND_881
way/1206014676-765,IND_882
way/545571850-765,IND_883
way/545571850-765,IND_884
way/545571850-765,IND_885
way/545571850-765,IND_887
way/751947947-765,IND_888
way/342204888-765,IND_889
way/342204888-765,IND_891
way/315824842-765,IND_892
way/315824842-765,IND_893
IN742-765,IND_894
IN742-765,IND_895
way/923365745-765,IND_896
way/923365745-765,IND_897
way/923365745-765,IND_898
way/1207477934-765,IND_899
way/1207477934-765,IND_900
way/1207477934-765,IND_902
